Time(in seconds),Dynamic Density,
1,0,0,
2,0,0.0905229,
3,0,0.0556461,
4,0,0.074652,
5,0,0.0893473,
6,0,0.0476127,
7,0,0.0605445,
8,0,0.103651,
9,0,0.0907189,
10,0,0.153419,
11,0,0.158513,
12,0,0.0977726,
13,0,0.136372,
14,0,0.155966,
15,0,0.0675983,
16,0,0.127359,
17,0,0.130102,
18,0,0.0915026,
19,0,0.139899,
20,0,0.14225,
21,0,0.0924823,
22,0,0.152243,
23,0,0.148716,
24,0,0.0852326,
25,0,0.149696,
26,0,0.144993,
27,0,0.0895432,
28,0,0.154398,
29,0,0.16733,
30,0,0.106002,
31,0,0.161452,
32,0,0.135393,
33,0,0.102475,
34,0,0.152635,
35,0,0.124812,
36,0,0.0789626,
37,0,0.120697,
38,0,0.132062,
39,0,0.0771992,
40,0,0.117758,
41,0,0.119913,
42,0,0.0693617,
43,0,0.0977726,
44,0,0.111292,
45,0,0.0672064,
46,0,0.114819,
47,0,0.114819,
48,0,0.0689698,
49,0,0.0993401,
50,0,0.0721048,
51,0,0.0719089,
52,0,0.090327,
53,0,0.093462,
54,0,0.0664227,
55,0,0.0926782,
56,0,0.0893473,
57,0,0.0638755,
58,0,0.0728886,
59,0,0.0815098,
60,0,0.0556461,
61,0,0.0758276,
62,0,0.0705373,
63,0,0.0605445,
64,0,0.0779829,
65,0,0.0634836,
66,0,0.0597608,
67,0,0.068382,
68,0,0.0738683,
69,0,0.0401671,
70,0,0.0460452,
71,0,0.0454574,
72,0,0.0450655,
73,0,0.0489843,
74,0,0.0519233,
75,0,0.0491802,
76,0,0.0546664,
77,0,0.0668145,
78,0,0.0487883,
79,0,0.0650511,
80,0,0.062308,
81,0,0.0632877,
82,0,0.0773951,
83,0,0.087192,
84,0,0.0734764,
85,0,0.102671,
86,0,0.117366,
87,0,0.0797464,
88,0,0.109137,
89,0,0.108353,
90,0,0.0819017,
91,0,0.115799,
92,0,0.159493,
93,0,0.105806,
94,0,0.147737,
95,0,0.164391,
96,0,0.123636,
97,0,0.166546,
98,0,0.165763,
99,0,0.10659,
100,0,0.154398,
101,0,0.150872,
102,0,0.103455,
103,0,0.163607,
