Time(in seconds),Dynamic Density,
1,0,0,
2,0,0.175234,
3,0,0.199742,
4,0,0.181924,
5,0,0.14274,
6,0,0.17527,
7,0,0.157737,
8,0,0.174929,
9,0,0.196482,
10,0,0.180917,
11,0,0.201729,
12,0,0.207368,
13,0,0.187665,
14,0,0.156127,
15,0,0.232491,
16,0,0.154371,
17,0,0.13341,
18,0,0.18893,
19,0,0.120631,
20,0,0.315149,
21,0,0.219383,
22,0,0.151079,
23,0,0.15122,
24,0,0.208395,
25,0,0.134476,
26,0,0.143011,
27,0,0.221099,
28,0,0.160453,
29,0,0.175516,
30,0,0.190866,
31,0,0.180313,
32,0,0.180309,
33,0,0.213258,
34,0,0.221432,
35,0,0.203257,
36,0,0.248691,
37,0,0.208571,
38,0,0.20544,
39,0,0.228682,
40,0,0.193304,
41,0,0.194213,
42,0,0.235759,
43,0,0.170034,
44,0,0.183005,
45,0,0.486794,
46,0,0.22849,
47,0,0.22617,
48,0,0.183401,
49,0,0.221652,
50,0,0.190772,
51,0,0.191532,
52,0,0.193554,
53,0,0.183221,
54,0,0.220429,
55,0,0.193868,
56,0,0.217216,
57,0,0.192869,
58,0,0.196106,
59,0,0.17092,
60,0,0.201929,
61,0,0.167224,
62,0,0.153082,
63,0,0.238632,
64,0,0.221754,
65,0,0.218854,
66,0,0.211377,
67,0,0.204966,
68,0,0.186027,
69,0,0.151467,
70,0,0.403791,
71,0,0.295653,
72,0,0.312445,
73,0,0.22358,
74,0,0.201541,
75,0,0.317065,
76,0,0.218909,
77,0,0.20716,
78,0,0.251838,
79,0,0.274453,
80,0,0.233671,
81,0,0.286221,
82,0,0.172052,
83,0,0.1742,
84,0,0.240391,
85,0,0.191372,
86,0,0.181512,
87,0,0.216213,
88,0,0.163999,
89,0,0.16195,
90,0,0.190255,
91,0,0.174407,
92,0,0.147635,
93,0,0.160132,
94,0,0.160484,
95,0,0.455076,
96,0,0.326823,
97,0,0.256364,
98,0,0.222675,
99,0,0.247292,
100,0,0.206047,
101,0,0.213846,
102,0,0.256772,
103,0,0.216722,
104,0,0.233514,
105,0,0.265726,
106,0,0.202223,
107,0,0.201639,
108,0,0.251622,
