Time(in seconds),Queue Density,Dynamic Density,
1,0.0791311,0,
2,0.0791311,0,
3,0.0791311,0,
4,0.0791311,0,
5,0.0791311,0,
6,0.0791311,0,
7,0.0791311,0,
8,0.0791311,0,
9,0.0791311,0,
10,0.0791311,0,
11,0.0825326,0,
12,0.0825326,0,
13,0.0825326,0,
14,0.0825326,0,
15,0.0825326,0,
16,0.0825326,0,
17,0.0825326,0,
18,0.0825326,0,
19,0.0825326,0,
20,0.0825326,0,
21,0.0892141,0,
22,0.0892141,0,
23,0.0892141,0,
24,0.0892141,0,
25,0.0892141,0,
26,0.0892141,0,
27,0.0892141,0,
28,0.0892141,0,
29,0.0892141,0,
30,0.0892141,0,
31,0.100085,0,
32,0.100085,0,
33,0.100085,0,
34,0.100085,0,
35,0.100085,0,
36,0.100085,0,
37,0.100085,0,
38,0.100085,0,
39,0.100085,0,
40,0.100085,0,
41,0.102875,0,
42,0.102875,0,
43,0.102875,0,
44,0.102875,0,
45,0.102875,0,
46,0.102875,0,
47,0.102875,0,
48,0.102875,0,
49,0.102875,0,
50,0.102875,0,
51,0.104027,0,
52,0.104027,0,
53,0.104027,0,
54,0.104027,0,
55,0.104027,0,
56,0.104027,0,
57,0.104027,0,
58,0.104027,0,
59,0.104027,0,
60,0.104027,0,
61,0.106304,0,
62,0.106304,0,
63,0.106304,0,
64,0.106304,0,
65,0.106304,0,
66,0.106304,0,
67,0.106304,0,
68,0.106304,0,
69,0.106304,0,
70,0.106304,0,
71,0.107569,0,
72,0.107569,0,
73,0.107569,0,
74,0.107569,0,
75,0.107569,0,
76,0.107569,0,
77,0.107569,0,
78,0.107569,0,
79,0.107569,0,
80,0.107569,0,
81,0.117288,0,
82,0.117288,0,
83,0.117288,0,
84,0.117288,0,
85,0.117288,0,
86,0.117288,0,
87,0.117288,0,
88,0.117288,0,
89,0.117288,0,
90,0.117288,0,
91,0.146004,0,
92,0.146004,0,
93,0.146004,0,
94,0.146004,0,
95,0.146004,0,
96,0.146004,0,
97,0.146004,0,
98,0.146004,0,
99,0.146004,0,
100,0.146004,0,
101,0.150879,0,
102,0.150879,0,
103,0.150879,0,
104,0.150879,0,
105,0.150879,0,
106,0.150879,0,
107,0.150879,0,
108,0.150879,0,
109,0.150879,0,
110,0.150879,0,
111,0.161715,0,
112,0.161715,0,
113,0.161715,0,
114,0.161715,0,
115,0.161715,0,
116,0.161715,0,
117,0.161715,0,
118,0.161715,0,
119,0.161715,0,
120,0.161715,0,
121,0.174627,0,
122,0.174627,0,
123,0.174627,0,
124,0.174627,0,
125,0.174627,0,
126,0.174627,0,
127,0.174627,0,
128,0.174627,0,
129,0.174627,0,
130,0.174627,0,
131,0.178945,0,
132,0.178945,0,
133,0.178945,0,
134,0.178945,0,
135,0.178945,0,
136,0.178945,0,
137,0.178945,0,
138,0.178945,0,
139,0.178945,0,
140,0.178945,0,
141,0.185956,0,
142,0.185956,0,
143,0.185956,0,
144,0.185956,0,
145,0.185956,0,
146,0.185956,0,
147,0.185956,0,
148,0.185956,0,
149,0.185956,0,
150,0.185956,0,
151,0.183852,0,
152,0.183852,0,
153,0.183852,0,
154,0.183852,0,
155,0.183852,0,
156,0.183852,0,
157,0.183852,0,
158,0.183852,0,
159,0.183852,0,
160,0.183852,0,
161,0.175313,0,
162,0.175313,0,
163,0.175313,0,
164,0.175313,0,
165,0.175313,0,
166,0.175313,0,
167,0.175313,0,
168,0.175313,0,
169,0.175313,0,
170,0.175313,0,
171,0.170101,0,
172,0.170101,0,
173,0.170101,0,
174,0.170101,0,
175,0.170101,0,
176,0.170101,0,
177,0.170101,0,
178,0.170101,0,
179,0.170101,0,
180,0.170101,0,
181,0.167373,0,
182,0.167373,0,
183,0.167373,0,
184,0.167373,0,
185,0.167373,0,
186,0.167373,0,
187,0.167373,0,
188,0.167373,0,
189,0.167373,0,
190,0.167373,0,
191,0.166162,0,
192,0.166162,0,
193,0.166162,0,
194,0.166162,0,
195,0.166162,0,
196,0.166162,0,
197,0.166162,0,
198,0.166162,0,
199,0.166162,0,
200,0.166162,0,
201,0.166307,0,
202,0.166307,0,
203,0.166307,0,
204,0.166307,0,
205,0.166307,0,
206,0.166307,0,
207,0.166307,0,
208,0.166307,0,
209,0.166307,0,
210,0.166307,0,
211,0.167812,0,
212,0.167812,0,
213,0.167812,0,
214,0.167812,0,
215,0.167812,0,
216,0.167812,0,
217,0.167812,0,
218,0.167812,0,
219,0.167812,0,
220,0.167812,0,
221,0.168282,0,
222,0.168282,0,
223,0.168282,0,
224,0.168282,0,
225,0.168282,0,
226,0.168282,0,
227,0.168282,0,
228,0.168282,0,
229,0.168282,0,
230,0.168282,0,
231,0.168157,0,
232,0.168157,0,
233,0.168157,0,
234,0.168157,0,
235,0.168157,0,
236,0.168157,0,
237,0.168157,0,
238,0.168157,0,
239,0.168157,0,
240,0.168157,0,
241,0.165955,0,
242,0.165955,0,
243,0.165955,0,
244,0.165955,0,
245,0.165955,0,
246,0.165955,0,
247,0.165955,0,
248,0.165955,0,
249,0.165955,0,
250,0.165955,0,
251,0.164246,0,
252,0.164246,0,
253,0.164246,0,
254,0.164246,0,
255,0.164246,0,
256,0.164246,0,
257,0.164246,0,
258,0.164246,0,
259,0.164246,0,
260,0.164246,0,
261,0.16447,0,
262,0.16447,0,
263,0.16447,0,
264,0.16447,0,
265,0.16447,0,
266,0.16447,0,
267,0.16447,0,
268,0.16447,0,
269,0.16447,0,
270,0.16447,0,
271,0.163494,0,
272,0.163494,0,
273,0.163494,0,
274,0.163494,0,
275,0.163494,0,
276,0.163494,0,
277,0.163494,0,
278,0.163494,0,
279,0.163494,0,
280,0.163494,0,
281,0.165473,0,
282,0.165473,0,
283,0.165473,0,
284,0.165473,0,
285,0.165473,0,
286,0.165473,0,
287,0.165473,0,
288,0.165473,0,
289,0.165473,0,
290,0.165473,0,
291,0.165994,0,
292,0.165994,0,
293,0.165994,0,
294,0.165994,0,
295,0.165994,0,
296,0.165994,0,
297,0.165994,0,
298,0.165994,0,
299,0.165994,0,
300,0.165994,0,
301,0.161766,0,
302,0.161766,0,
303,0.161766,0,
304,0.161766,0,
305,0.161766,0,
306,0.161766,0,
307,0.161766,0,
308,0.161766,0,
309,0.161766,0,
310,0.161766,0,
311,0.164297,0,
312,0.164297,0,
313,0.164297,0,
314,0.164297,0,
315,0.164297,0,
316,0.164297,0,
317,0.164297,0,
318,0.164297,0,
319,0.164297,0,
320,0.164297,0,
321,0.1655,0,
322,0.1655,0,
323,0.1655,0,
324,0.1655,0,
325,0.1655,0,
326,0.1655,0,
327,0.1655,0,
328,0.1655,0,
329,0.1655,0,
330,0.1655,0,
331,0.166778,0,
332,0.166778,0,
333,0.166778,0,
334,0.166778,0,
335,0.166778,0,
336,0.166778,0,
337,0.166778,0,
338,0.166778,0,
339,0.166778,0,
340,0.166778,0,
341,0.167855,0,
342,0.167855,0,
343,0.167855,0,
344,0.167855,0,
345,0.167855,0,
346,0.167855,0,
347,0.167855,0,
348,0.167855,0,
349,0.167855,0,
350,0.167855,0,
351,0.170116,0,
352,0.170116,0,
353,0.170116,0,
354,0.170116,0,
355,0.170116,0,
356,0.170116,0,
357,0.170116,0,
358,0.170116,0,
359,0.170116,0,
360,0.170116,0,
361,0.169799,0,
362,0.169799,0,
363,0.169799,0,
364,0.169799,0,
365,0.169799,0,
366,0.169799,0,
367,0.169799,0,
368,0.169799,0,
369,0.169799,0,
370,0.169799,0,
371,0.169752,0,
372,0.169752,0,
373,0.169752,0,
374,0.169752,0,
375,0.169752,0,
376,0.169752,0,
377,0.169752,0,
378,0.169752,0,
379,0.169752,0,
380,0.169752,0,
381,0.169172,0,
382,0.169172,0,
383,0.169172,0,
384,0.169172,0,
385,0.169172,0,
386,0.169172,0,
387,0.169172,0,
388,0.169172,0,
389,0.169172,0,
390,0.169172,0,
391,0.177644,0,
392,0.177644,0,
393,0.177644,0,
394,0.177644,0,
395,0.177644,0,
396,0.177644,0,
397,0.177644,0,
398,0.177644,0,
399,0.177644,0,
400,0.177644,0,
401,0.184784,0,
402,0.184784,0,
403,0.184784,0,
404,0.184784,0,
405,0.184784,0,
406,0.184784,0,
407,0.184784,0,
408,0.184784,0,
409,0.184784,0,
410,0.184784,0,
411,0.198253,0,
412,0.198253,0,
413,0.198253,0,
414,0.198253,0,
415,0.198253,0,
416,0.198253,0,
417,0.198253,0,
418,0.198253,0,
419,0.198253,0,
420,0.198253,0,
421,0.22394,0,
422,0.22394,0,
423,0.22394,0,
424,0.22394,0,
425,0.22394,0,
426,0.22394,0,
427,0.22394,0,
428,0.22394,0,
429,0.22394,0,
430,0.22394,0,
431,0.258202,0,
432,0.258202,0,
433,0.258202,0,
434,0.258202,0,
435,0.258202,0,
436,0.258202,0,
437,0.258202,0,
438,0.258202,0,
439,0.258202,0,
440,0.258202,0,
441,0.280492,0,
442,0.280492,0,
443,0.280492,0,
444,0.280492,0,
445,0.280492,0,
446,0.280492,0,
447,0.280492,0,
448,0.280492,0,
449,0.280492,0,
450,0.280492,0,
451,0.296049,0,
452,0.296049,0,
453,0.296049,0,
454,0.296049,0,
455,0.296049,0,
456,0.296049,0,
457,0.296049,0,
458,0.296049,0,
459,0.296049,0,
460,0.296049,0,
461,0.307143,0,
462,0.307143,0,
463,0.307143,0,
464,0.307143,0,
465,0.307143,0,
466,0.307143,0,
467,0.307143,0,
468,0.307143,0,
469,0.307143,0,
470,0.307143,0,
471,0.312281,0,
472,0.312281,0,
473,0.312281,0,
474,0.312281,0,
475,0.312281,0,
476,0.312281,0,
477,0.312281,0,
478,0.312281,0,
479,0.312281,0,
480,0.312281,0,
481,0.30998,0,
482,0.30998,0,
483,0.30998,0,
484,0.30998,0,
485,0.30998,0,
486,0.30998,0,
487,0.30998,0,
488,0.30998,0,
489,0.30998,0,
490,0.30998,0,
491,0.308127,0,
492,0.308127,0,
493,0.308127,0,
494,0.308127,0,
495,0.308127,0,
496,0.308127,0,
497,0.308127,0,
498,0.308127,0,
499,0.308127,0,
500,0.308127,0,
501,0.309212,0,
502,0.309212,0,
503,0.309212,0,
504,0.309212,0,
505,0.309212,0,
506,0.309212,0,
507,0.309212,0,
508,0.309212,0,
509,0.309212,0,
510,0.309212,0,
511,0.347063,0,
512,0.347063,0,
513,0.347063,0,
514,0.347063,0,
515,0.347063,0,
516,0.347063,0,
517,0.347063,0,
518,0.347063,0,
519,0.347063,0,
520,0.347063,0,
521,0.377822,0,
522,0.377822,0,
523,0.377822,0,
524,0.377822,0,
525,0.377822,0,
526,0.377822,0,
527,0.377822,0,
528,0.377822,0,
529,0.377822,0,
530,0.377822,0,
531,0.389613,0,
532,0.389613,0,
533,0.389613,0,
534,0.389613,0,
535,0.389613,0,
536,0.389613,0,
537,0.389613,0,
538,0.389613,0,
539,0.389613,0,
540,0.389613,0,
541,0.39363,0,
542,0.39363,0,
543,0.39363,0,
544,0.39363,0,
545,0.39363,0,
546,0.39363,0,
547,0.39363,0,
548,0.39363,0,
549,0.39363,0,
550,0.39363,0,
551,0.390111,0,
552,0.390111,0,
553,0.390111,0,
554,0.390111,0,
555,0.390111,0,
556,0.390111,0,
557,0.390111,0,
558,0.390111,0,
559,0.390111,0,
560,0.390111,0,
561,0.38513,0,
562,0.38513,0,
563,0.38513,0,
564,0.38513,0,
565,0.38513,0,
566,0.38513,0,
567,0.38513,0,
568,0.38513,0,
569,0.38513,0,
570,0.38513,0,
571,0.381968,0,
572,0.381968,0,
573,0.381968,0,
574,0.381968,0,
575,0.381968,0,
576,0.381968,0,
577,0.381968,0,
578,0.381968,0,
579,0.381968,0,
580,0.381968,0,
581,0.399359,0,
582,0.399359,0,
583,0.399359,0,
584,0.399359,0,
585,0.399359,0,
586,0.399359,0,
587,0.399359,0,
588,0.399359,0,
589,0.399359,0,
590,0.399359,0,
591,0.415986,0,
592,0.415986,0,
593,0.415986,0,
594,0.415986,0,
595,0.415986,0,
596,0.415986,0,
597,0.415986,0,
598,0.415986,0,
599,0.415986,0,
600,0.415986,0,
601,0.446627,0,
602,0.446627,0,
603,0.446627,0,
604,0.446627,0,
605,0.446627,0,
606,0.446627,0,
607,0.446627,0,
608,0.446627,0,
609,0.446627,0,
610,0.446627,0,
611,0.483091,0,
612,0.483091,0,
613,0.483091,0,
614,0.483091,0,
615,0.483091,0,
616,0.483091,0,
617,0.483091,0,
618,0.483091,0,
619,0.483091,0,
620,0.483091,0,
621,0.506493,0,
622,0.506493,0,
623,0.506493,0,
624,0.506493,0,
625,0.506493,0,
626,0.506493,0,
627,0.506493,0,
628,0.506493,0,
629,0.506493,0,
630,0.506493,0,
631,0.518391,0,
632,0.518391,0,
633,0.518391,0,
634,0.518391,0,
635,0.518391,0,
636,0.518391,0,
637,0.518391,0,
638,0.518391,0,
639,0.518391,0,
640,0.518391,0,
641,0.522337,0,
642,0.522337,0,
643,0.522337,0,
644,0.522337,0,
645,0.522337,0,
646,0.522337,0,
647,0.522337,0,
648,0.522337,0,
649,0.522337,0,
650,0.522337,0,
651,0.522893,0,
652,0.522893,0,
653,0.522893,0,
654,0.522893,0,
655,0.522893,0,
656,0.522893,0,
657,0.522893,0,
658,0.522893,0,
659,0.522893,0,
660,0.522893,0,
661,0.523042,0,
662,0.523042,0,
663,0.523042,0,
664,0.523042,0,
665,0.523042,0,
666,0.523042,0,
667,0.523042,0,
668,0.523042,0,
669,0.523042,0,
670,0.523042,0,
671,0.520616,0,
672,0.520616,0,
673,0.520616,0,
674,0.520616,0,
675,0.520616,0,
676,0.520616,0,
677,0.520616,0,
678,0.520616,0,
679,0.520616,0,
680,0.520616,0,
681,0.525785,0,
682,0.525785,0,
683,0.525785,0,
