Time(in seconds),Queue Density,Dynamic Density,
0.0666667,0.0791311,0,
0.133333,0.0745972,0,
0.2,0.0741857,0,
0.266667,0.116939,0.111535,
0.333333,0.117982,0.108357,
0.4,0.10762,0.103196,
0.466667,0.111241,0.103913,
0.533333,0.105391,0.101915,
0.6,0.0993675,0.0955859,
0.666667,0.106022,0.103945,
0.733333,0.128966,0.115368,
0.8,0.128492,0.119866,
0.866667,0.114055,0.110783,
0.933333,0.101292,0.0990305,
1,0.0953391,0.0914869,
1.06667,0.096887,0.0955938,
1.13333,0.0984936,0.0929212,
1.2,0.0883519,0.0794054,
1.26667,0.0890612,0.0866982,
1.33333,0.106891,0.103682,
1.4,0.0892141,0.066019,
1.46667,0.090229,0.0739545,
1.53333,0.0911146,0.0592788,
1.6,0.0910637,0.0550583,
1.66667,0.0921335,0.0549251,
1.73333,0.0942496,0.0550544,
1.8,0.0954488,0.0539807,
1.86667,0.0967733,0.0622688,
1.93333,0.0988111,0.0615282,
2,0.0992108,0.0614811,
2.06667,0.100085,0.0699926,
2.13333,0.100359,0.0674964,
2.2,0.100308,0.0676688,
2.26667,0.100343,0.0712466,
2.33333,0.100739,0.069252,
2.4,0.101245,0.0708234,
2.46667,0.101558,0.0759099,
2.53333,0.101962,0.0740603,
2.6,0.102256,0.0697693,
2.66667,0.102228,0.075424,
2.73333,0.102875,0.076149,
2.8,0.102436,0.0746207,
2.86667,0.103372,0.0750517,
2.93333,0.103678,0.0770189,
3,0.11284,0.109384,
3.06667,0.104235,0.0792134,
3.13333,0.10463,0.0837866,
3.2,0.104481,0.0609168,
3.26667,0.104023,0.0664148,
3.33333,0.104031,0.0646749,
3.4,0.104027,0.0650981,
3.46667,0.104144,0.0621708,
3.53333,0.104227,0.0627704,
3.6,0.104368,0.0596628,
3.66667,0.104991,0.0593768,
3.73333,0.105614,0.0569471,
3.8,0.105967,0.0580013,
3.86667,0.105665,0.0593611,
3.93333,0.105344,0.0570686,
4,0.106037,0.054251,
4.06667,0.106304,0.0535182,
4.13333,0.105771,0.0529148,
4.2,0.105269,0.0525033,
4.26667,0.10554,0.0550074,
4.33333,0.106006,0.0515158,
4.4,0.106884,0.0471111,
4.46667,0.107699,0.0463195,
4.53333,0.107765,0.0491959,
4.6,0.108714,0.0374357,
4.66667,0.106837,0.0446893,
4.73333,0.107569,0.0457513,
4.8,0.108604,0.0863573,
4.86667,0.109478,0.0493761,
4.93333,0.110414,0.0455005,
5,0.110712,0.04996,
5.06667,0.111935,0.045571,
5.13333,0.112182,0.0352138,
5.2,0.112672,0.0303075,
5.26667,0.112962,0.0399555,
