Time(in seconds),Queue Density,Dynamic Density,
1,0,0,
2,0.082381,0,
3,0.0733333,0,
4,0.0719048,0,
5,0.077619,0,
6,0.0838095,0,
7,0.0795238,0,
8,0.0852381,0,
9,0.09,0,
10,0.08,0,
11,0.0857143,0,
12,0.0809524,0,
13,0.0795238,0,
14,0.0771429,0,
15,0.0780952,0,
16,0.08,0,
17,0.077619,0,
18,0.0771429,0,
19,0.077619,0,
20,0.0847619,0,
21,0.0847619,0,
22,0.0838095,0,
23,0.0866667,0,
24,0.0876191,0,
25,0.0871429,0,
26,0.0857143,0,
27,0.0890476,0,
28,0.0909524,0,
29,0.0890476,0,
30,0.0928571,0,
31,0.09,0,
32,0.0942857,0,
33,0.092381,0,
34,0.0938095,0,
35,0.0980952,0,
36,0.0952381,0,
37,0.0933333,0,
38,0.0985714,0,
39,0.0961905,0,
40,0.0961905,0,
41,0.0942857,0,
42,0.0947619,0,
43,0.097619,0,
44,0.0947619,0,
45,0.0961905,0,
46,0.0938095,0,
47,0.0952381,0,
48,0.100476,0,
49,0.0971429,0,
50,0.0971429,0,
51,0.092381,0,
52,0.09,0,
53,0.0980952,0,
54,0.0938095,0,
55,0.0933333,0,
56,0.0971429,0,
57,0.0995238,0,
58,0.0990476,0,
59,0.0952381,0,
60,0.0966667,0,
61,0.100476,0,
62,0.0957143,0,
63,0.097619,0,
64,0.101429,0,
65,0.0966667,0,
66,0.097619,0,
67,0.097619,0,
68,0.0933333,0,
69,0.0938095,0,
70,0.0947619,0,
71,0.092381,0,
72,0.0957143,0,
73,0.0961905,0,
74,0.0961905,0,
75,0.097619,0,
76,0.0995238,0,
77,0.101429,0,
78,0.103333,0,
79,0.10381,0,
80,0.1,0,
81,0.107143,0,
82,0.102857,0,
83,0.107619,0,
84,0.107143,0,
85,0.11,0,
86,0.111905,0,
87,0.118095,0,
88,0.118571,0,
89,0.12381,0,
90,0.131429,0,
91,0.131429,0,
92,0.131429,0,
93,0.134762,0,
94,0.135714,0,
95,0.138571,0,
96,0.137143,0,
97,0.13381,0,
98,0.13381,0,
99,0.138571,0,
100,0.132381,0,
101,0.135714,0,
102,0.135238,0,
103,0.133333,0,
104,0.144762,0,
105,0.142857,0,
106,0.140476,0,
107,0.14381,0,
108,0.140952,0,
109,0.134762,0,
110,0.141429,0,
111,0.140476,0,
112,0.145238,0,
113,0.147619,0,
114,0.150476,0,
115,0.156667,0,
116,0.158095,0,
117,0.158571,0,
118,0.162857,0,
119,0.156667,0,
120,0.16381,0,
121,0.159524,0,
122,0.158571,0,
123,0.158571,0,
124,0.155238,0,
125,0.160952,0,
126,0.160952,0,
127,0.155714,0,
128,0.161429,0,
129,0.169524,0,
130,0.167143,0,
131,0.16381,0,
132,0.172381,0,
133,0.169524,0,
134,0.167619,0,
135,0.165238,0,
136,0.172857,0,
137,0.172381,0,
138,0.17381,0,
139,0.169048,0,
140,0.167143,0,
141,0.174762,0,
142,0.179048,0,
143,0.172857,0,
144,0.178571,0,
145,0.175714,0,
146,0.176667,0,
147,0.173333,0,
148,0.170952,0,
149,0.174286,0,
150,0.180476,0,
