Time(in seconds),Queue Density,Dynamic Density,
1,0.0791311,0,
2,0.0745972,0,
3,0.0741857,0,
4,0.116939,0,
5,0.117982,0,
6,0.10762,0,
7,0.111241,0,
8,0.105391,0,
9,0.0993675,0,
10,0.106022,0,
11,0.128966,0,
12,0.128492,0,
13,0.114055,0,
14,0.101292,0,
15,0.0953391,0,
16,0.096887,0,
17,0.0984936,0,
18,0.0883519,0,
19,0.0890612,0,
20,0.106891,0,
21,0.0892141,0,
22,0.090229,0,
23,0.0911146,0,
24,0.0910637,0,
25,0.0921335,0,
26,0.0942496,0,
27,0.0954488,0,
28,0.0967733,0,
29,0.0988111,0,
30,0.0992108,0,
31,0.100085,0,
32,0.100359,0,
33,0.100308,0,
34,0.100343,0,
35,0.100739,0,
36,0.101245,0,
37,0.101558,0,
38,0.101962,0,
39,0.102256,0,
40,0.102228,0,
41,0.102875,0,
42,0.102436,0,
43,0.103372,0,
44,0.103678,0,
45,0.11284,0,
46,0.104235,0,
47,0.10463,0,
48,0.104481,0,
49,0.104023,0,
50,0.104031,0,
51,0.104027,0,
52,0.104144,0,
53,0.104227,0,
54,0.104368,0,
55,0.104991,0,
56,0.105614,0,
57,0.105967,0,
58,0.105665,0,
59,0.105344,0,
60,0.106037,0,
61,0.106304,0,
62,0.105771,0,
63,0.105269,0,
64,0.10554,0,
65,0.106006,0,
66,0.106884,0,
67,0.107699,0,
68,0.107765,0,
69,0.108714,0,
70,0.106837,0,
71,0.107569,0,
72,0.108604,0,
73,0.109478,0,
74,0.110414,0,
75,0.110712,0,
76,0.111935,0,
77,0.112182,0,
78,0.112672,0,
79,0.112962,0,
80,0.115873,0,
81,0.117288,0,
82,0.119757,0,
83,0.121994,0,
84,0.123719,0,
85,0.128523,0,
86,0.132751,0,
87,0.134793,0,
88,0.139268,0,
89,0.142803,0,
90,0.144272,0,
91,0.146004,0,
92,0.147889,0,
93,0.148215,0,
94,0.149159,0,
95,0.147533,0,
96,0.147772,0,
97,0.148493,0,
98,0.149402,0,
99,0.14986,0,
100,0.150092,0,
101,0.150879,0,
102,0.152184,0,
103,0.153336,0,
104,0.153458,0,
105,0.153513,0,
106,0.152788,0,
107,0.152956,0,
108,0.154057,0,
109,0.156746,0,
110,0.159332,0,
111,0.161715,0,
112,0.164983,0,
113,0.168094,0,
114,0.169791,0,
115,0.171284,0,
116,0.172456,0,
117,0.173443,0,
118,0.174635,0,
119,0.17465,0,
120,0.174815,0,
121,0.174627,0,
122,0.189052,0,
