Time(in seconds),Queue Density,Dynamic Density,
0.0666667,0.0606033,0,
0.133333,0.0603839,0,
0.2,0.0614498,0,
0.266667,0.0852444,0.0801618,
0.333333,0.0804086,0.0765722,
0.4,0.0803891,0.0739506,
0.466667,0.0867492,0.078124,
0.533333,0.0900056,0.079425,
0.6,0.0916711,0.0810396,
0.666667,0.0941203,0.0911342,
0.733333,0.107644,0.102847,
0.8,0.115168,0.110591,
0.866667,0.116688,0.11275,
0.933333,0.10666,0.104003,
1,0.100849,0.098764,
1.06667,0.108451,0.105924,
1.13333,0.109913,0.104771,
1.2,0.103341,0.0910794,
1.26667,0.103858,0.0984349,
1.33333,0.117531,0.116226,
1.4,0.104278,0.0790606,
1.46667,0.105465,0.0891474,
1.53333,0.106135,0.071086,
1.6,0.106292,0.0638285,
1.66667,0.106997,0.0653137,
1.73333,0.109689,0.0654704,
1.8,0.1109,0.063511,
1.86667,0.112276,0.0733196,
1.93333,0.114988,0.0725712,
2,0.115736,0.0727593,
2.06667,0.116841,0.0828931,
2.13333,0.117096,0.0791664,
2.2,0.117245,0.0802754,
2.26667,0.117362,0.0843156,
2.33333,0.118021,0.0824111,
2.4,0.118354,0.0842725,
2.46667,0.118659,0.0886654,
2.53333,0.119388,0.0876662,
2.6,0.119627,0.0832066,
2.66667,0.119831,0.0902525,
2.73333,0.120685,0.0904602,
2.8,0.120231,0.0872351,
2.86667,0.121305,0.0883363,
2.93333,0.121889,0.0909892,
3,0.132916,0.127375,
3.06667,0.122288,0.0938264,
3.13333,0.123033,0.0985446,
3.2,0.122798,0.0734607,
3.26667,0.122461,0.0800364,
3.33333,0.122312,0.0774422,
3.4,0.122402,0.0771757,
3.46667,0.122829,0.0743032,
3.53333,0.123048,0.0750439,
3.6,0.123515,0.0721323,
3.66667,0.124589,0.0724379,
3.73333,0.125388,0.0702199,
3.8,0.126089,0.0724418,
3.86667,0.126144,0.0733157,
3.93333,0.125788,0.0723439,
4,0.126724,0.0684761,
4.06667,0.127477,0.0682684,
4.13333,0.127296,0.0677315,
4.2,0.127085,0.0678569,
4.26667,0.127449,0.0707176,
4.33333,0.128143,0.0661288,
4.4,0.12944,0.06221,
4.46667,0.130964,0.0602506,
4.53333,0.131395,0.0619122,
4.6,0.132391,0.0475578,
4.66667,0.130067,0.0558891,
4.73333,0.130819,0.0553444,
4.8,0.131717,0.0915575,
4.86667,0.132712,0.0535927,
4.93333,0.133394,0.0510612,
5,0.133884,0.0550583,
5.06667,0.134507,0.0521075,
5.13333,0.133825,0.0421696,
5.2,0.13368,0.0369302,
5.26667,0.134472,0.0450538,
5.33333,0.137967,0.054063,
5.4,0.139836,0.0860516,
5.46667,0.141976,0.0599371,
5.53333,0.143712,0.0495015,
5.6,0.144739,0.0494623,
5.66667,0.150096,0.0575036,
5.73333,0.1547,0.0688797,
5.8,0.156938,0.0800795,
5.86667,0.162236,0.0803538,
5.93333,0.166707,0.0798091,
6,0.168545,0.0867531,
6.06667,0.171386,0.094038,
6.13333,0.172773,0.0953822,
6.2,0.173792,0.0948061,
6.26667,0.174627,0.0981135,
6.33333,0.173067,0.104525,
6.4,0.173518,0.113279,
6.46667,0.173784,0.140499,
6.53333,0.174854,0.119627,
6.6,0.175736,0.113095,
6.66667,0.17623,0.105402,
6.73333,0.177397,0.101409,
6.8,0.17871,0.0919415,
6.86667,0.180438,0.0991128,
6.93333,0.180258,0.102546,
7,0.180713,0.102463,
7.06667,0.179972,0.110434,
7.13333,0.180023,0.110893,
7.2,0.18132,0.10409,
7.26667,0.184667,0.111708,
7.33333,0.188491,0.117993,
7.4,0.191097,0.105606,
7.46667,0.195298,0.110207,
7.53333,0.199546,0.117139,
7.6,0.200926,0.123675,
7.66667,0.203198,0.127434,
7.73333,0.204511,0.12723,
7.8,0.205738,0.118052,
7.86667,0.207505,0.126317,
7.93333,0.207776,0.124749,
8,0.208007,0.153391,
8.06667,0.207732,0.147305,
8.13333,0.207638,0.183683,
8.2,0.207646,0.137003,
8.26667,0.207885,0.139915,
8.33333,0.208207,0.138367,
8.4,0.208873,0.13283,
8.46667,0.20997,0.132732,
8.53333,0.211126,0.132649,
8.6,0.211651,0.129902,
8.66667,0.212737,0.141235,
8.73333,0.213556,0.151714,
8.8,0.214547,0.143775,
8.86667,0.214868,0.142215,
8.93333,0.215288,0.136948,
9,0.216189,0.137391,
9.06667,0.216887,0.145906,
9.13333,0.217075,0.138912,
9.2,0.217851,0.133421,
9.26667,0.218674,0.132081,
9.33333,0.219873,0.13475,
9.4,0.219673,0.13214,
9.46667,0.219042,0.137297,
9.53333,0.219916,0.128864,
9.6,0.219739,0.132426,
9.66667,0.218928,0.144625,
9.73333,0.219324,0.139354,
9.8,0.220033,0.176841,
9.86667,0.218587,0.133559,
9.93333,0.218148,0.127923,
10,0.217815,0.116845,
10.0667,0.217804,0.119428,
10.1333,0.216009,0.11141,
10.2,0.215883,0.10389,
10.2667,0.214735,0.100053,
10.3333,0.21372,0.102526,
10.4,0.213035,0.10041,
10.4667,0.211165,0.103067,
10.5333,0.210111,0.101938,
10.6,0.209398,0.0922628,
10.6667,0.208853,0.0885008,
10.7333,0.20834,0.0856637,
10.8,0.207603,0.0804086,
10.8667,0.206494,0.0797777,
10.9333,0.205307,0.0787393,
11,0.204993,0.0857264,
11.0667,0.204519,0.0858753,
11.1333,0.20397,0.0874271,
11.2,0.203614,0.0813962,
11.2667,0.202517,0.084202,
11.3333,0.20218,0.117343,
11.4,0.201572,0.0850406,
11.4667,0.200953,0.0945475,
11.5333,0.200126,0.0796445,
11.6,0.200044,0.0802206,
11.6667,0.199864,0.0775049,
11.7333,0.199099,0.0747461,
11.8,0.198625,0.0751889,
11.8667,0.197951,0.0729434,
11.9333,0.198124,0.071952,
12,0.197924,0.0728259,
12.0667,0.198367,0.0720186,
12.1333,0.197399,0.0683546,
12.2,0.197461,0.0622727,
12.2667,0.19801,0.0632406,
12.3333,0.19823,0.0622179,
12.4,0.197442,0.0599528,
12.4667,0.196568,0.0618808,
12.5333,0.196352,0.0574801,
12.6,0.196595,0.0527071,
12.6667,0.196815,0.0505282,
12.7333,0.19685,0.0490783,
12.8,0.196639,0.0390934,
12.8667,0.196011,0.0397282,
12.9333,0.196117,0.0330977,
13,0.196705,0.0522642,
13.0667,0.196595,0.0440075,
13.1333,0.197199,0.0488353,
13.2,0.197555,0.0231245,
13.2667,0.197207,0.0207262,
13.3333,0.197367,0.0203735,
13.4,0.197454,0.0195937,
13.4667,0.197438,0.0210672,
13.5333,0.197908,0.018567,
13.6,0.198163,0.017023,
13.6667,0.198551,0.0207341,
13.7333,0.198257,0.0203735,
13.8,0.198049,0.0171798,
13.8667,0.197967,0.0164234,
13.9333,0.197834,0.0175873,
14,0.198132,0.0173875,
14.0667,0.198774,0.0155927,
14.1333,0.199045,0.0190608,
14.2,0.198778,0.0317967,
14.2667,0.198441,0.0278348,
14.3333,0.198433,0.0183946,
14.4,0.198135,0.0168075,
14.4667,0.197748,0.0185905,
14.5333,0.19799,0.0150088,
14.6,0.198073,0.0144837,
14.6667,0.199405,0.0183162,
14.7333,0.199429,0.0211259,
14.8,0.199542,0.0405746,
14.8667,0.199197,0.0266161,
14.9333,0.199237,0.0213924,
15,0.198876,0.0128456,
15.0667,0.198719,0.00971848,
15.1333,0.198927,0.0132101,
15.2,0.198676,0.0136255,
15.2667,0.198735,0.0126771,
15.3333,0.198935,0.0143622,
15.4,0.198806,0.0168702,
15.4667,0.198876,0.0173287,
15.5333,0.199221,0.0187629,
15.6,0.19966,0.0339324,
15.6667,0.199966,0.0333916,
15.7333,0.199773,0.0207576,
15.8,0.199499,0.0194134,
15.8667,0.199049,0.0188139,
15.9333,0.197548,0.0206831,
16,0.19656,0.0316987,
16.0667,0.196396,0.0243275,
16.1333,0.19734,0.0235046,
16.2,0.197054,0.0179165,
16.2667,0.197481,0.0128652,
16.3333,0.194389,0.0176578,
16.4,0.19502,0.0198798,
16.4667,0.195279,0.0787275,
16.5333,0.195385,0.0304016,
16.6,0.194832,0.0214238,
16.6667,0.194628,0.0131474,
16.7333,0.194362,0.0156083,
16.8,0.194232,0.0117797,
16.8667,0.193935,0.0128417,
16.9333,0.193801,0.00838611,
17,0.193707,0.00791978,
17.0667,0.194193,0.0100202,
17.1333,0.194252,0.0327058,
17.2,0.194252,0.0293318,
17.2667,0.194428,0.0133041,
17.3333,0.194601,0.0102906,
17.4,0.194777,0.0113526,
17.4667,0.194722,0.0119522,
17.5333,0.19484,0.0133316,
17.6,0.195087,0.0217177,
17.6667,0.195138,0.021028,
17.7333,0.194863,0.0222741,
17.8,0.194828,0.0200483,
17.8667,0.194859,0.0121442,
17.9333,0.19471,0.00971456,
18,0.193476,0.0133551,
18.0667,0.193629,0.0149304,
18.1333,0.19337,0.0544039,
18.2,0.193159,0.0194644,
18.2667,0.19321,0.01167,
18.3333,0.193888,0.0137587,
18.4,0.193825,0.0113604,
18.4667,0.194624,0.0108079,
18.5333,0.195306,0.0115093,
18.6,0.19513,0.0105336,
18.6667,0.196043,0.0100829,
18.7333,0.197595,0.0127712,
18.8,0.198484,0.0286617,
18.8667,0.199989,0.0199464,
18.9333,0.200961,0.0199268,
19,0.201227,0.023391,
